product_name,primary_category,sugars_100g,proteins_100g,fat_100g,fiber_100g,nutriscore_grade
Galette des rois Frangipane,Candy & Chocolate,16.0,6.7,29.0,2.0,e
Chokodomi Pâte à Tartiner Chocolat Noisettes Bio,Spreads & Dips,37.3,7.6,40.5,7.8,e
Chokodomi Pâte à Tartiner Chocolat Noisettes Bio,Nuts & Seeds,37.3,7.6,40.5,7.8,e
Turron de trufa,Candy & Chocolate,31.86,6.62,36.93,,e
Cocadas,Candy & Chocolate,10.0,10.0,10.0,,e
Magdalenas mini clasicas,Candy & Chocolate,24.0,5.5,17.0,,d
Pan de leche redondo,Candy & Chocolate,3.3,10.7,2.1,,a
Beignets fourres au chocolat,Candy & Chocolate,19.0,6.7,19.0,,d
Mini beignets assortis,Candy & Chocolate,22.0,7.9,25.0,,unknown
Früchtemischung Bonbon,Candy & Chocolate,74.2,0.0,0.0,,e
Flocon d'avoine - complète,Cereals & Granola,1.0,12.0,7.1,,b
CAP’N CRUNCH,Cereals & Granola,44.736842105263,5.2631578947368,3.9473684210526,2.6315789473684,e
Donuts,Candy & Chocolate,20.0,4.6,17.0,,e
Sweetened sunflower seeds,Nuts & Seeds,7.0,29.0,46.0,,e
Teigwaren,Candy & Chocolate,3.4,14.0,1.5,2.9,unknown
oeuf de goeland chocolat vrac,Candy & Chocolate,31.0,5.9,47.0,,e
Donuts fourrage vanille,Candy & Chocolate,14.0,4.3,17.0,,e
Donuts coco noisette,Candy & Chocolate,21.0,5.8,24.0,,e
Migni beignets assortis,Candy & Chocolate,22.0,7.9000000953674,25.0,,e
porridge,Cereals & Granola,16.0,11.0,10.0,8.9,c
Milton's Galletas Saladas Multigrano 4 pzas de 238 g,Candy & Chocolate,6.3,6.3,18.8,6.3,c
Amandes grillées sans sel,Nuts & Seeds,4.7,23.0,57.0,,b
Muffin double chocolat,Candy & Chocolate,26.8,5.8,24.3,,d
Truffes Fantaisie Biologiques,Candy & Chocolate,32.0,4.2,53.0,,unknown
Peanut Butter Filled Pretzel Nuggets,Chips & Savoury Snacks,6.45,16.1,22.6,3.23,d
Houmous oignons caramélisés,Spreads & Dips,3.33333333333333,6.66666666666667,16.6666666666667,3.33333333333333,b
Oreillettes,Candy & Chocolate,28.0,6.7,15.0,4.20176,e
Les boudoirs magiques,Candy & Chocolate,25.0,6.6,13.0,1.4,unknown
Koekjes Zacht,Candy & Chocolate,31.0,5.2,14.0,1.8,d
Beignet moelleux a la pomme,Candy & Chocolate,18.0,5.6,11.0,,d
Sour Fruit Gummies,Candy & Chocolate,57.5,5.0,0.0,0.0,e
Jelly Fish,Candy & Chocolate,24.0,0.0,0.0,0.0,c
Mixed fruit gummies,Candy & Chocolate,52.5,7.5,0.0,0.0,d
Bonbons Angry Birds Vert,Candy & Chocolate,0.0,3.0,0.0,,a
Skippy wafer bar,Candy & Chocolate,25.0,16.6666666666667,33.3333333333333,5.55555555555556,e
4 beignets à la pomme,Candy & Chocolate,20.0,6.6,9.6,,d
Pasta di cacao nero assoluto 100%,Candy & Chocolate,0.5,14.0,54.0,,d
