product_name,primary_category,sugars_100g,proteins_100g,fat_100g,fiber_100g,nutriscore_grade
Snack Size,Candy & Chocolate,53.5714285714286,3.57142857142857,25.0,3.57142857142857,e
ZERO SUGAR ASSORTMENT,Candy & Chocolate,50.0,3.125,26.4705882352941,5.88235294117647,e
Kitkat dark,Candy & Chocolate,46.875,6.25,28.125,6.25,e
Cookies N' Creme,Candy & Chocolate,45.0,8.1,26.9,,e
Cookies 'n' Creme Candy Bar,Candy & Chocolate,47.5,5.5,25.7,,e
Caramel Big Cup,Candy & Chocolate,56.4102564102564,7.69230769230769,25.6410256410256,2.56410256410256,e
Fast Break,Candy & Chocolate,55.2631578947368,7.89473684210526,21.0526315789474,2.63157894736842,e
Creamy Peanut Butter,Nuts & Seeds,9.375,25.0,50.0,9.375,c
Creamy Peanut Butter,Nuts & Seeds,10.7,24.4,49.5,,d
Peanut Butter Cups,Candy & Chocolate,52.3809523809524,9.52380952380952,28.5714285714286,0.952380952380952,e
Milk chocolate peanut butter cups,Candy & Chocolate,51.61,9.68,29.03,3.2,e
Peanut Butter Cups,Candy & Chocolate,55.0,9.52,28.57,4.8,e
KitKat Churro,Candy & Chocolate,47.6190476190476,4.76190476190476,28.5714285714286,0.0,e
PEANUT BUTTER CUPS MILK CHOCOLATE & PEANUT BUTTER,Candy & Chocolate,51.06,10.64,29.79,4.26,e
Giant Peanut Butter Cups  (2 Stück à je 225 g),Candy & Chocolate,53.0,10.0,29.0,,e
Big cup peanut butter cup,Candy & Chocolate,51.28,12.82,30.77,5.13,e
BIG CUP 2 MILK CHOCOLATE & PEANUT BUTTER CUPS,Candy & Chocolate,15.6,4.4,11.4,1.17,c
Reese’s Pieces Egg,Candy & Chocolate,50.2,11.5,29.0,2.15,e
White miniatures peanut butter cups,Candy & Chocolate,45.45,11.36,31.82,2.3,e
White miniature peanut butter cups,Candy & Chocolate,46.15,11.54,30.77,3.8,e
Reese's Miniature Cups,Candy & Chocolate,53.8461538461538,7.69230769230769,26.9230769230769,3.84615384615385,e
Miniature Cups,Candy & Chocolate,53.8461538461538,7.69230769230769,26.9230769230769,3.84615384615385,e
Reese's miniature cups dark chocolate,Candy & Chocolate,46.1538461538462,11.5384615384615,30.7692307692308,3.84615384615385,e
White 2 Peanut Butter Cups,Candy & Chocolate,18.8,11.0,30.7,,d
"Milk chocolate thins peanut butter cups, milk chocolate",Candy & Chocolate,54.55,9.09,30.3,3.0,e
Reeses Rounds,Candy & Chocolate,34.0,11.0,33.0,4.26043886457171,unknown
Peanut Butter Cups 3 Pack,Candy & Chocolate,50.1,10.8,31.0,,e
Peanut butter cups,Candy & Chocolate,50.2,10.2,31.2,5.465,e
Reese‘s peanut butter cups,Candy & Chocolate,50.9,10.9,29.9,0.0,e
Peanut butter cups,Candy & Chocolate,51.1,10.9,29.2,,e
Peanut Butter Cups,Candy & Chocolate,53.0,9.52,28.57,2.4,e
Giant peanut butter bar,Candy & Chocolate,53.9,8.3,30.9,,e
Peanut Butter Bar XL,Candy & Chocolate,53.3333333333333,6.66666666666667,33.3333333333333,3.5306,e
Peanut Butter Cups pack de 2,Candy & Chocolate,52.0,10.0,29.0,0.0,e
Peanut Butter Bar,Candy & Chocolate,54.0,6.9,22.0,0.0,e
Milk chocolate peanut butter cups stuffed with pieces candy,Candy & Chocolate,52.94,8.82,29.41,2.9,e
Miniatures peanut butter cups,Candy & Chocolate,53.1,9.09,29.55,0.0,e
White Reese’s Peanut Butter Cup,Candy & Chocolate,47.2,10.0,30.5,0.0,e
Milk chocolate peanut butter cups,Candy & Chocolate,52.27,9.09,29.55,2.3,e
Milk chocolate miniature peanut butter cups,Candy & Chocolate,52.27,9.09,29.55,2.3,e
Reese's Miniature Cups Zero Sugar,Candy & Chocolate,1.1,6.82,29.55,13.6,d
Milk chocolate miniature peanut butter cups stuffed with pieces candy,Candy & Chocolate,53.85,7.69,26.92,3.8,e
Minis unwrapped,Candy & Chocolate,62.5,3.125,9.375,3.125,e
Reeses Big Bag,Candy & Chocolate,53.8461538461538,11.5384615384615,26.9230769230769,3.84615384615385,e
"Peanut butter cups miniatures, milk chocolate",Candy & Chocolate,53.85,11.54,26.92,3.8,e
Milk chocolate miniatures peanut butter cups,Candy & Chocolate,53.85,11.54,26.92,3.8,e
"Milk chocolate, peanut butter cup miniatures",Candy & Chocolate,31.8181818181818,4.54545454545455,15.9090909090909,2.27272727272727,e
Miniatures peanut butter cups,Candy & Chocolate,52.27,9.09,29.55,2.3,e
Peanut Butter Cups - Miniatures,Candy & Chocolate,52.27,9.09,29.55,4.5,e
Peanut Butter Cups Miniatures,Candy & Chocolate,51.7,3.6,20.7,3.4,e
"Reese's Peanut Butter Cups Miniatures, Milk Chocolate",Candy & Chocolate,53.1,9.8,29.5,,e
Milk chocolate miniature peanut butter cups,Candy & Chocolate,52.27,9.09,29.55,2.3,e
Milk chocolate miniature peanut butter cups,Candy & Chocolate,54.55,9.09,29.55,4.5,e
Reeses,Candy & Chocolate,53.8461538461538,7.69230769230769,26.9230769230769,3.84615384615385,e
Reese's PB&J Strawberry Big Cup,Candy & Chocolate,56.0,8.2,26.0,0.0,e
Oreo,Candy & Chocolate,51.2820512820513,10.2564102564103,28.2051282051282,2.56410256410256,e
Dark Reese's Peanut Butter Cups Thins,Candy & Chocolate,48.4848484848485,9.09090909090909,30.3030303030303,15.1515151515152,e
THINS Milk Chocolate & Peanut Butter,Candy & Chocolate,18.0,3.0,10.0,,d
Dark Reese's Thins Peanut Butter Cups,Candy & Chocolate,50.0,6.81818181818182,31.8181818181818,6.81818181818182,e
Chocolate peanut butter candy,Candy & Chocolate,53.12,9.38,31.25,3.13,e
Unwrapped mini white peanut butter cups,Candy & Chocolate,46.15,10.26,33.33,2.6,e
Peanut Butter Cups minis unwrapped,Candy & Chocolate,55.7,8.3,26.0,0.0,e
Peanut butter trees,Candy & Chocolate,50.0,11.7647058823529,29.4117647058824,2.94117647058824,e
Reese’s white eggs,Candy & Chocolate,44.117647058824,11.764705882353,32.352941176471,2.9411764705882,e
Peanut Butter Eggs,Candy & Chocolate,51.7647058823529,9.41176470588235,31.4705882352941,0.0,e
Peanut Butter Hearts,Candy & Chocolate,44.1176470588235,11.7647058823529,29.4117647058824,47.0588235294118,e
Milk chocolate pumpkins,Candy & Chocolate,47.0588235294118,5.88235294117647,29.4117647058824,2.94117647058824,e
Peanut Butter Trees Milk Chocolate & Peanut Butter,Candy & Chocolate,47.0588235294118,11.7647058823529,29.4117647058824,2.94117647058824,e
Halloween snack size peanut butter pumpkins,Candy & Chocolate,50.0,11.76,29.41,2.9,e
Reese& valentine& day peanut butter hearts,Candy & Chocolate,53.333333333333,10.0,30.0,3.3333333333333,e
Reese's Cup White King Size,Candy & Chocolate,47.5,10.0,30.0,2.5,e
Peanut Butter Cups,Candy & Chocolate,50.0,11.7647058823529,29.4117647058824,2.94117647058824,e
Peanut butter cups,Candy & Chocolate,52.38,11.9,28.57,4.8,e
Reese's Crispy Crunchy,Candy & Chocolate,44.8275862068966,10.3448275862069,27.5862068965517,13.7931034482759,e
Hershey's Twizzlers Candy Straws,Candy & Chocolate,42.8571428571429,1.78571428571429,1.78571428571429,,unknown
Twizzlers Filled Twists Sweet & Sour,Candy & Chocolate,51.2820512820513,2.56410256410256,3.84615384615385,0.0,e
Twizzlers Strawberry Twists,Candy & Chocolate,49.13385,2.18352375,2.6305625,1.47065,e
Twizzlers Twists Strawberry,Candy & Chocolate,40.0,3.3333333333333,1.6666666666667,0.0,d
Strawberry twizzlers twists,Candy & Chocolate,39.285714285714,3.5714285714286,0.0,0.0,d
Pull'n'peel candy,Candy & Chocolate,47.6190476190476,4.76190476190476,0.0,0.0,e
Reese's Spreads Peanut Butter Chocolate,Nuts & Seeds,51.2,8.7,32.5,,e
Milk chocolate covered mini reester bunnies,Candy & Chocolate,52.5,7.5,30.0,2.5,e
Reese's Heart Milk Chocolate & Peanut Butter,Candy & Chocolate,53.57,10.71,28.57,3.57,e
Milk chocolate peanut butter snowman,Candy & Chocolate,54.29,8.57,28.57,2.9,e
Easter candy,Candy & Chocolate,52.63,10.53,28.95,2.63,e
2 Peanut Butter Cups,Candy & Chocolate,51.8,10.8,29.3,0.0,e
2 Peanut Butter Cups,Candy & Chocolate,53.157,4.959,34.037,1.508,e
reeses,Candy & Chocolate,53.8461538461538,11.5384615384615,26.9230769230769,,e
ice breakers coolmint,Candy & Chocolate,100.0,0.0,0.0,,e
Ice Breakers Mints,Candy & Chocolate,0.1,0.2,0.3,,c
Kitkat,Candy & Chocolate,54.761904761905,4.7619047619048,26.190476190476,2.3809523809524,e
Reese's Peanut Butter Pumpkins,Candy & Chocolate,16.0,4.0,10.0,,d
Overload,Candy & Chocolate,44.0,6.7,26.0,,e
MINIATURE CUPS CHOCOLATE CANDY & PEANUT BUTTER,Candy & Chocolate,46.1538461538462,7.69230769230769,13.4615384615385,11.5384615384615,unknown
Reese’s Peanut Butter Cups,Candy & Chocolate,51.8,10.8,29.3,,e
Reese’s Trio,Candy & Chocolate,51.6,10.8,29.4,,e
Reeses 4 Peanut Butter Cups,Candy & Chocolate,52.0,10.0,29.0,,e
Peanut Butter Cups - Minis - Unwrapped,Candy & Chocolate,56.0,8.3,26.0,,e
Dark chocolate Zero sugar,Candy & Chocolate,0.0,7.69230769230769,30.7692307692308,11.5384615384615,d
Cadbury Caramello miniatures,Candy & Chocolate,55.8823529411765,5.88235294117647,23.5294117647059,0.0,e
PLANT BASED oat chocolate confection & peanut butter,Candy & Chocolate,38.4615384615385,7.69230769230769,34.6153846153846,3.84615384615385,e
Peanut Butter Cups Snack Size,Candy & Chocolate,48.3870967741936,9.67741935483871,29.0322580645161,3.2258064516129,e
Milk chocolate,Candy & Chocolate,56.8627450980392,5.88235294117647,29.4117647058824,1.96078431372549,e
Reese’s Oreo,Candy & Chocolate,51.2820512820513,7.69230769230769,28.2051282051282,2.56410256410256,e
Reese's Miniature Cups Chocolate Candy & Peanut Butter Zero Sugar,Candy & Chocolate,0.0,7.69230769230769,30.7692307692308,11.5384615384615,d
Chocolate Lave Big Cup,Candy & Chocolate,43.975615234375,9.37442708333333,28.0527734375,3.58831922743056,e
Hershey's Kisses Cookies'n'creme,Candy & Chocolate,48.3,6.6,26.5,,e
Cookies creme white chocolate drops,Candy & Chocolate,51.7241379310345,3.44827586206897,27.5862068965517,0.0,e
Milk Chocolate Drops,Candy & Chocolate,17.0,2.0,9.0,,d
Apple et cinammon rice cake,Chips & Savoury Snacks,9.0,8.4,2.9,,c
Dry Roasted With Sea Salt Pistachios,Nuts & Seeds,3.33333333333333,23.3333333333333,36.6666666666667,16.6666666666667,c
Granola,Cereals & Granola,16.666666666667,10.0,13.333333333333,6.6666666666667,c
Raw Shelled Pistachios,Nuts & Seeds,6.66666666666667,20.0,46.6666666666667,10.0,a
Premium California raw pistachios,Nuts & Seeds,6.66666666666667,20.0,46.6666666666667,10.0,a
Garibaldi Biscuits,Candy & Chocolate,34.2,5.6,8.6,5.5,d
Cream slice,Candy & Chocolate,27.7,4.0,19.0,1.2,e
Santas,Candy & Chocolate,54.5454545454545,3.03030303030303,24.2424242424242,3.03030303030303,e
Miel de Printemps du Massif du Jura Bio,Spreads & Dips,79.8,0.56,0.0,0.0,e
Miel d'Eté du Massif du Jura Bio,Spreads & Dips,79.8,0.56,0.0,0.0,e
STRING CHEESE LOW MOISTURE PART-SKIM MOZZARELLA CHEESE,Chips & Savoury Snacks,3.57142857142857,21.4285714285714,21.4285714285714,3.57142857142857,d
Luxury Hot Cross Buns,Candy & Chocolate,25.1282051282051,6.92307692307692,4.61538461538461,3.07692307692308,d
PARMESAN 36 MOIS,Candy & Chocolate,37.9,4.3,15.6,1.9,e
Chocolate  Cornflake Mini Bites,Candy & Chocolate,42.9,6.2,20.1,3.6,e
MILK CHOCOLATE RICE CAKES,Candy & Chocolate,26.4705882352941,7.64705882352941,20.5882352941176,,unknown
Rice cakes,Candy & Chocolate,21.7647058823529,7.64705882352941,21.1764705882353,5.29411764705882,e
Lightly salted Rice Cakes,Chips & Savoury Snacks,0.6,9.6,2.5,,b
Reduced fat roasted red pepper houmous,Spreads & Dips,3.5,4.9,7.6,3.8,a
Sweet Red Chilli Houmous,Spreads & Dips,4.7,6.1,21.1,0.004,c
Fruit snacks,Candy & Chocolate,44.0528634361234,4.40528634361234,0.0,,d
Welch's Fruit Snacks Berries 'N Cherries,Candy & Chocolate,43.1373,3.9216,0.0,0.0,d
Fruit Snacks,Candy & Chocolate,45.4545454545455,4.54545454545455,0.0,,d
Fruit ‘n Yogurt,Nuts & Seeds,60.0,0.0,7.5,0.0,e
Mixed Fruit Fruit Snacks,Candy & Chocolate,44.0,4.41,0.0,0.0,d
Fruit snacks,Candy & Chocolate,43.14,0.0,0.0,,d
Fruit snacks,Candy & Chocolate,12.0,1.0,0.0,,c
Mixed Fruit Fruit Snacks,Candy & Chocolate,40.0,3.33,0.0,,d
Fruit Snacks,Candy & Chocolate,43.333333333333,3.3333333333333,0.0,,d
Snacks,Candy & Chocolate,73.3333333333333,3.33333333333333,0.0,0.0,e
Juicefuls Juicy Fruit Snacks,Candy & Chocolate,46.0869565217391,3.47826086956522,0.0,,d
Fruit snacks,Candy & Chocolate,43.137254901961,3.921568627451,0.0,,d
Fruit 'n Yogurt Snacks Strawberry,Candy & Chocolate,60.0,0.0,7.5,0.0,e
Berries ‘N cherries fruit snack,Fruit Snacks,45.454545454545,4.5454545454545,0.0,,d
Fruit snack,Candy & Chocolate,45.454545454545,4.5454545454545,0.0,,d
Fruits snacks,Candy & Chocolate,47.0,3.0,1.0,,d
Collations aux Fruits,Fruit Snacks,45.4545454545455,4.54545454545455,0.0,,d
Mixed Fruit Fruit Snacks,Candy & Chocolate,43.3333333333333,3.33333333333333,0.0,0.0,d
"Wildberry soft & chewy mouth-puckering candy!, wildberry",Candy & Chocolate,60.0,5.0,0.0,0.0,e
Fruit Snacks,Candy & Chocolate,44.0528634361234,4.40528634361234,0.0,0.0,d
Fruit snacks,Candy & Chocolate,11.0,0.0,0.0,,c
Milk chocolate teacakes,Candy & Chocolate,41.9,5.4,17.1,2.1,e
Classic Houmous,Spreads & Dips,1.0,6.8,16.0,5.0,c
Organic Houmous,Spreads & Dips,0.5,3.3,11.9,2.0,a
Houmous,Spreads & Dips,0.8,6.5,8.9,4.9,a
Fleet farm,Nuts & Seeds,7.14285714285714,17.8571428571429,42.8571428571429,3.57142857142857,b
Marshmallow Bits,Candy & Chocolate,80.0,0.0,0.0,0.0,e
Chocolat noir grand cru,Candy & Chocolate,35.4,8.3,34.7,12.2,e
chocolat lait riz soufflé,Candy & Chocolate,41.6,6.1,42.3,,e
Chocolat noir grand cru noisettes caramélisées,Candy & Chocolate,34.6,7.7,42.0,,e
Miam's chocolat lait et cacahuètes,Candy & Chocolate,36.7,8.7,27.7,3.5,e
Chocolat noir grand cru,Candy & Chocolate,41.6,6.1,42.3,,e
4 triple berry hot cross buns,Candy & Chocolate,22.6,6.2,3.7,6.1,c
4 Apple & Cinnamon Hot Cross Buns,Candy & Chocolate,21.4,6.35135135135135,2.97,3.77972972972973,d
Organic Houmous,Spreads & Dips,0.6,6.7,29.4,5.1,c
Pruneaux dénoyautés au jus de pruneaux,Fruit Snacks,21.0,1.2,0.3,2.8,c
Peanut Butter,Nuts & Seeds,9.4,25.6,52.2,3.8,c
Midget gems,Candy & Chocolate,52.5,0.3,0.1,0.6,e
tortilla chips,Chips & Savoury Snacks,1.36363636363636,6.81818181818182,22.2727272727273,4.09090909090909,c
Rainbow belts,Candy & Chocolate,55.3,2.4,3.0,,e
Choc lolly,Candy & Chocolate,5.0,16.0,52.0,,e
Pains au lait frais,Candy & Chocolate,8.8,9.1,11.0,2.4,d
Manuka honey,Spreads & Dips,70.9,0.2,0.2,,e
Milk chocolate raisins,Candy & Chocolate,63.0,4.9,17.5,3.485,e
Corn Flakes Cereal,Cereals & Granola,25.0,15.0,0.0,2.5,a
Croissants,Candy & Chocolate,7.8000001907349,6.6999998092651,23.700000762939,3.63589358283919,e
6 Pains Au Chocolat,Candy & Chocolate,12.0,7.33333333333333,22.0,3.82222222222222,e
Cinnamon & Raisin Danish,Candy & Chocolate,38.4,3.5,16.4,2.0,e
Wafer Rolls Vanilla,Candy & Chocolate,53.5714285714286,3.57142857142857,21.4285714285714,0.0,e
BBQ bourbon beef flavour,Chips & Savoury Snacks,3.7,5.9,30.3,,d
Taste the difference thai sweet chilli hand cooked crisps,Chips & Savoury Snacks,3.8,5.2,30.7,1.7,d
Taste the Difference Sea Salt & Suffolk Cider Vinegar Potato Crisps,Chips & Savoury Snacks,1.1,7.4,29.3,2.7,d
taste the difference mature cheddar and onion,Chips & Savoury Snacks,15.0,9.5,30.0,4.1,e
Lightly sea salted,Chips & Savoury Snacks,0.5,6.2,27.5,2.0,d
Jaffa cakes,Candy & Chocolate,47.2,3.9,13.4,2.0,e
Concha French Sweetie Roll,Candy & Chocolate,14.1843971631206,8.51063829787234,12.7659574468085,0.0,d
Apple Danish,Candy & Chocolate,19.1489361702128,4.25531914893617,19.1489361702128,0.0,e
Bear Claw Danish,Candy & Chocolate,8.51063829787234,6.38297872340426,27.6595744680851,2.12765957446809,e
Cream Cheese & Berry Flavoured Danish,Candy & Chocolate,12.7659574468085,4.25531914893617,21.2765957446809,0.0,e
Cream Cheese Flavoured Danish,Candy & Chocolate,10.6382978723404,4.25531914893617,21.2765957446809,0.0,e
Creamy Blueberry Flavoured Danish,Candy & Chocolate,12.7659574468085,4.25531914893617,19.1489361702128,0.0,d
Banana Nut Muffin,Candy & Chocolate,25.3521126760563,4.92957746478873,21.1267605633803,0.704225352112676,e
Blueberry Muffin,Candy & Chocolate,24.6478873239437,4.92957746478873,20.4225352112676,0.704225352112676,e
Chocolate Chocolate Muffin,Candy & Chocolate,27.4647887323944,5.63380281690141,20.4225352112676,0.704225352112676,e
6 Powdered Doughnuts,Candy & Chocolate,27.8481012658228,5.06329113924051,11.3924050632911,1.26582278481013,e
Puffed Wheat,Cereals & Granola,0.6,14.5,2.4,9.2,a
Sainbury’s corn flakes,Cereals & Granola,4.2,7.4,1.0,2.3,c
Scottish porridge oats,Cereals & Granola,0.9,11.0,6.6,9.6,a
Bran Flakes,Cereals & Granola,15.384615384615,10.25641025641,2.5641025641026,17.948717948718,d
Crispy Rice,Cereals & Granola,9.75609756097561,7.31678048780488,1.21951219512195,0.9786,unknown
Frosted Flakes,Cereals & Granola,36.842105263158,5.2631578947368,0.0,2.6315789473684,d
Granola Fruit & Nut,Cereals & Granola,20.0,8.3333333333333,15.0,6.6666666666667,c
"Ice Cream, Butter Pecan",Ice Cream & Frozen,17.91,2.99,14.93,0.0,d
No-Bake Cookies Chocolate Peanut Butter,Candy & Chocolate,32.56,6.98,16.28,4.7,e
Old Fashioned Oats,Cereals & Granola,0.0,12.5,6.25,10.0,a
Quick Oats,Cereals & Granola,0.0,12.5,6.25,10.0,a
Old Fashioned Oats,Cereals & Granola,0.0,12.5,6.25,10.0,a
Toasted Rice,Cereals & Granola,7.3170731707317,7.3170731707317,0.0,1.219512195122,d
Corn flake,Cereals & Granola,10.0,7.5,0.0,2.5,d
"Easy Living Cereal, Crispy Oat Squares, Cinnamon",Cereals & Granola,23.8095238095238,9.52380952380952,3.57142857142857,4.76190476190476,d
Chewy Granola Bars,Candy & Chocolate,29.166666666667,8.3333333333333,10.416666666667,4.1666666666667,d
Instant Oatmeal Fruit & Cream Variety Pack,Cereals & Granola,37.142857142857,8.5714285714286,5.7142857142857,5.7142857142857,e
Cashews Halves & Pieces,Nuts & Seeds,6.6666666666667,16.666666666667,46.666666666667,3.3333333333333,b
Instant Oatmeal Maple Brown Sugar,Cereals & Granola,33.3333333333333,9.25925925925926,5.55555555555556,7.40740740740741,d
Raisin Bran,Cereals & Granola,27.1186440677966,8.47457627118644,1.69491525423729,13.5593220338983,unknown
Dark Chocolate Sea Salt Caramels,Candy & Chocolate,45.0,5.0,17.5,2.5,e
THINS MILK CHOCOLATE SEA SALT CARAMELS,Candy & Chocolate,47.6190476190476,4.76190476190476,19.047619047619,0.0,e
Quick Cooking Rolled Oats Whole Grain,Cereals & Granola,1.0,6.0,3.0,4.0,unknown
milk chocolate covered mini pretzels,Chips & Savoury Snacks,39.2857142857143,7.14285714285714,21.4285714285714,3.57142857142857,e
Cherry Liqueurs,Candy & Chocolate,42.1,4.2,21.5,4.5,e
Carrots & houmous,Spreads & Dips,3.4,3.3,6.7,2.4,b
Mixed Berries Porridge,Cereals & Granola,6.07929515418502,3.3920704845815,1.18942731277533,1.40969162995595,a
Apple & Blueberry Porridge,Cereals & Granola,15.5,19.0,5.3,5.83333333333333,a
Vegane Bio-Elisen Lebkuchen,Candy & Chocolate,37.5,10.0,26.9,,e
Glace artisanale Réglisse - Raimo,Ice Cream & Frozen,24.0,3.5,10.0,,d
Chouchou,Candy & Chocolate,44.0,19.0,29.0,4.9,unknown
Raspberry Jelly Trifle,Spreads & Dips,16.1,2.0,6.3,0.7,c
Made Without Wheat Top Iced Christmas Cake Bar,Candy & Chocolate,50.6,2.3,6.7,2.3,e
Blackberry Pomegranate Fruit Spread,Spreads & Dips,71.428571428571,0.0,0.0,0.0,d
Organic light roasted creamy peanut butter,Nuts & Seeds,3.125,25.0,50.0,6.2,a
Organic Lightly Roasted Crunchy Peanut Butter,Nuts & Seeds,3.030303030303,24.242424242424,48.484848484848,9.0909090909091,a
"Roasted no salt, sunflower kernels",Nuts & Seeds,3.33333333333333,20.0,50.0,10.0,a
Sea Salt and Black Pepper Cashews ,Nuts & Seeds,6.2,20.9,48.0,5.6,c
Unsalted rice cakes,Chips & Savoury Snacks,0.6,9.6,2.5,,b
Confiture d'abricot,Spreads & Dips,51.0,0.60000002384186,0.0,,d
crunchy beurre de cacahuete,Nuts & Seeds,6.0,27.3,55.0,6.2,c
Cronut Canelle,Candy & Chocolate,20.0,4.3,31.0,0.9,e
Choco Rice Pops,Cereals & Granola,15.6666666666667,7.33333333333333,2.0,2.66666666666667,c
Foska Oats,Cereals & Granola,2.5,12.5,7.5,10.0,a
All Butter Flapjacks,Candy & Chocolate,33.9,7.3,18.8,3.978,e
Deglet Nour Dates,Fruit Snacks,46.4,2.0,0.5,6.3,c
Toasted Whole Grain Oats Cereal,Cereals & Granola,11.65625,10.52453125,4.31328125,6.7171875,d
Craquelins de patate douce,Chips & Savoury Snacks,6.66666666666667,6.66666666666667,26.6666666666667,6.66666666666667,c
Organic 3 Seed Sweet Beet Crackers,Baked Goods & Biscuits,3.3333333333333,6.6666666666667,26.666666666667,6.6666666666667,c
Sweet potato crackers,Chips & Savoury Snacks,7.14285714285714,7.14285714285714,28.5714285714286,7.14285714285714,c
3 Seed Kale Crackers,Baked Goods & Biscuits,0.0,7.1428571428571,21.428571428571,,c
SWEET POTATO crackers,Chips & Savoury Snacks,6.6666666666667,6.6666666666667,26.666666666667,6.6666666666667,c
Frozen greek yogurt,Ice Cream & Frozen,20.22,6.74,2.81,0.0,c
"Dannon, oikos, greek frozen yogurt, cafe latte",Ice Cream & Frozen,21.35,6.74,3.37,0.0,c
Greek frozen yogurt,Ice Cream & Frozen,22.5,7.5,3.75,0.0,c
Greek frozen yogurt,Ice Cream & Frozen,22.5,7.5,3.75,0.0,c
"Dannon, oikos, greek yogurt, vanilla",Ice Cream & Frozen,21.35,6.74,3.37,0.0,c
"oikos, greek frozen yogurt, strawberry",Ice Cream & Frozen,20.22,6.74,2.81,0.0,c
Brownie Sunday,Candy & Chocolate,1.0,30.0,3.5,5.0,a
"Dannon, oikos, greek frozen yogurt, chocolate",Ice Cream & Frozen,23.6,7.87,3.37,0.0,c
Salted Caramel Swirl Non-Dairy Frozen Mousse,Ice Cream & Frozen,5.08474576271186,0.564971751412429,2.54237288135593,1.69491525423729,c
Peanut Butter Swirl Non-Dairy Frozen Mousse,Ice Cream & Frozen,3.95480225988701,0.564971751412429,3.38983050847458,1.69491525423729,c
Peanut Butter and Raspberry Oat Non-Dairy Frozen Dessert,Ice Cream & Frozen,12.9213483146067,1.68539325842697,8.98876404494382,0.561797752808989,c
"Oatmilk Non-Dairy Frozen Dessert, Oatmeal Cookie",Ice Cream & Frozen,26.0,2.0,13.0,1.0,e
"Oatmilk Non-Dairy Frozen Dessert, S'mores",Ice Cream & Frozen,11.7977528089888,0.561797752808989,7.86516853932584,0.561797752808989,d
Mini carrot cakes,Candy & Chocolate,32.03125,3.125,14.0625,0.78125,d
Bebida Gatorade sabor fresandia,Protein & Sport,5.9,0.0,0.0,0.0,not-applicable
Ready Oats,Cereals & Granola,0.0025,12.0,7.0,10.148,unknown
Protein Instant Oatmeal Apple Cinnamon,Cereals & Granola,23.0769230769231,19.2307692307692,3.84615384615385,7.69230769230769,c
Classic Sweet & Salty Trail Mix,Nuts & Seeds,29.4117647058824,17.6470588235294,32.3529411764706,5.88235294117647,d
fruit & cream variety instant oatmeal,Cereals & Granola,28.5714285714286,8.57142857142857,5.71428571428571,5.71428571428571,d
quick oats,Cereals & Granola,0.0,12.5,6.25,10.0,a
maple & brown sugar instant oatmeal,Cereals & Granola,27.906976744186,9.30232558139535,4.65116279069767,6.97674418604651,d
apples & cinnamon instant oatmeal,Cereals & Granola,97.9591836734694,24.4897959183673,12.2448979591837,24.4897959183673,e
old fashioned oats,Cereals & Granola,0.0,12.5,6.25,5.0,a
"Corn flakes toasted flakes of corn cereal, corn flakes",Cereals & Granola,7.14,7.14,0.0,3.6,d
Instant Oatmeal,Cereals & Granola,25.0,10.0,5.0,7.5,d
Organic Oats & Flax Instant Oatmeal,Cereals & Granola,27.5,10.0,6.25,7.5,d
Sweetened Toasted Oat Cereal With Real Honey,Cereals & Granola,32.14,7.14,3.57,7.14,d
Ancient grains flatbread crackers,Candy & Chocolate,2.78,11.11,9.72,5.6,c
"Corn flakes toasted corn flakes cereal, corn flakes",Cereals & Granola,10.0,5.0,0.0,2.5,d
AGAVE NECTAR AMBER,Spreads & Dips,76.19,0.0,0.0,,d
Organic Quick Steel Cut Oats,Cereals & Granola,2.5,12.5,7.5,10.0,a
Triple berry granola,Cereals & Granola,14.0,6.0,7.0,4.0,a
Honey Nut Toasted Oats Cereal,Cereals & Granola,26.829268292683,9.7560975609756,4.8780487804878,7.3170731707317,c
Maple Brown Sugar Gluten Free Instant Oatmeal,Cereals & Granola,20.9302325581395,9.30232558139535,4.65116279069767,6.97674418604651,d
Organic Toasted Oats Cereal,Cereals & Granola,5.1282051282051,12.820512820513,6.4102564102564,7.6923076923077,a
Creamy Peanut Butter,Nuts & Seeds,12.5,21.875,46.875,6.25,c
Crisp rice cereal,Cereals & Granola,10.0,7.5,0.0,0.0,d
Market organic crunchy peanut butter,Nuts & Seeds,6.66666666666667,26.6666666666667,46.6666666666667,6.66666666666667,b
Instant Oatmeal Original,Cereals & Granola,0.0,14.2857142857143,7.14285714285714,10.7142857142857,a
Apple Cinnamon Instant Oatmeal,Cereals & Granola,30.0,10.0,5.0,7.5,c
Sourdough English Muffins,Baked Goods & Biscuits,1.7543859649123,7.0175438596491,1.7543859649123,1.7543859649123,c
Instant oatmeal variety pack,Cereals & Granola,0.0,14.2857142857143,7.14285714285714,10.7142857142857,a
Creamy Peanut Butter,Nuts & Seeds,12.5,21.875,46.875,6.25,c
crav'n flavor rich & crisp crackers,Chips & Savoury Snacks,7.14285714285714,7.14285714285714,21.4285714285714,0.0,e
Gluten free pancake waffle mix,Candy & Chocolate,7.5,15.0,0.0,0.0,unknown
protein granola oat & honey,Cereals & Granola,24.395,16.6666666666667,10.0,6.79,unknown
ripple potato chips ORIGINAL,Chips & Savoury Snacks,3.5714285714286,3.5714285714286,39.285714285714,3.5714285714286,d
